ProductID,link,originalPrice
19480392,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelko-tace-bialy-szary-pomaranczowy-s19480392/,209
09330464,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-bialy-szary-s09330464/,219
80308699,https://www.ikea.com/pl/pl/p/trofast-polka-jasna-sosna-bejcowana-na-bialo-80308699/,60
49480343,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-bialy-ciemnoszary-s49480343/,99
59387655,https://www.ikea.com/pl/pl/p/smastad-platsa-komoda-6-szuflad-bialy-bialy-s59387655/,949
20382324,https://www.ikea.com/pl/pl/p/mammut-stolek-dzieciecy-do-wewnatrz-na-zewnatrz-zolty-20382324/,49
39477973,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-ciemnoszary-s39477973/,669
19388416,https://www.ikea.com/pl/pl/p/smastad-szafa-z-elementem-wysuwanym-bialy-s19388416/,755
10091453,https://www.ikea.com/pl/pl/p/trofast-rama-bialy-10091453/,299
50516063,https://www.ikea.com/pl/pl/p/trofast-rama-bialy-50516063/,149
49487679,https://www.ikea.com/pl/pl/p/trofast-kombinacja-z-polkami-bialy-s49487679/,229
29228470,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-bialy-s29228470/,329
49483313,https://www.ikea.com/pl/pl/p/smastad-platsa-szafa-bialy-bialy-z-3-polkami-s49483313/,519
60248418,https://www.ikea.com/pl/pl/p/foersiktig-podium-dzieciece-bialy-zielony-60248418/,14.99
90146456,https://www.ikea.com/pl/pl/p/ingolf-krzeslo-dzieciece-bialy-90146456/,249
90516075,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-bialy-90516075/,59
49412561,https://www.ikea.com/pl/pl/p/poaeng-fotelik-dzieciecy-okl-brzoz-knisa-jasnobezowy-s49412561/,229
80461889,https://www.ikea.com/pl/pl/p/baenkkamrat-poduszka-na-lawke-wzor-w-kropki-80461889/,50
10192013,https://www.ikea.com/pl/pl/p/busa-tunel-dzieciecy-10192013/,79.99
09480415,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelka-taca-bialy-szary-zielony-s09480415/,219
80433486,https://www.ikea.com/pl/pl/p/godishus-komoda-3-szuflady-bialy-80433486/,279
10460888,https://www.ikea.com/pl/pl/p/smagoera-szafa-bialy-10460888/,699
69329472,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-bialy-szary-s69329472/,299
90091454,https://www.ikea.com/pl/pl/p/trofast-polka-bialy-90091454/,40
30171123,https://www.ikea.com/pl/pl/p/trofast-rama-bialy-30171123/,199
09102532,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-bialy-s09102532/,454
49487684,https://www.ikea.com/pl/pl/p/trofast-kombinacja-z-polkami-jasna-sosna-bejcowana-na-bialo-s49487684/,349
20308701,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-jasna-sosna-bejcowana-na-bialo-20308701/,189
